mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,Br,C,Cl,H,N,O,S,rdb,DBE,H/C,O/C,Ç¿¶È,N/C,KM,KMD
32.98,175643520,421.04121,421.041466,0.256,0.609,C11 H21 N2 O9 S3 ,0,11,0,21,2,9,3,2.5,2,1.909090909,0.818181818,,0.181818182,,
378.38,175643520,421.04121,421.040793,-0.416,-0.988,C14 H26 Cl O4 S4 ,0,14,1,26,0,4,4,1.5,1,1.857142857,0.285714286,,0,,
488.22,10953624,421.071123,421.071326,0.203,0.482,C11 H25 N4 O5 S4 ,0,11,0,25,4,5,4,1.5,1,2.272727273,0.454545455,,0.363636364,,
491.49,10953624,421.071123,421.071412,0.288,0.684,C15 H28 Cl3 N2 O S2 ,0,15,3,28,2,1,2,1.5,1,1.866666667,0.066666667,,0.133333333,,
502.38,10953624,421.071123,421.070906,-0.217,-0.516,C21 H14 Cl N4 O4 ,0,21,1,14,4,4,0,16.5,16,0.666666667,0.19047619,,0.19047619,,
416.58,30481308,421.076625,421.07631,-0.315,-0.748,C14 H26 Cl O8 S2 ,0,14,1,26,0,8,2,1.5,1,1.857142857,0.571428571,,0,,
423.84,30481308,421.076625,421.07647,-0.155,-0.369,C24 H13 N4 O2 S ,0,24,0,13,4,2,1,20.5,20,0.541666667,0.083333333,,0.166666667,,
439.49,30481308,421.076625,421.076779,0.154,0.366,C14 H18 Cl N4 O9 ,0,14,1,18,4,9,0,7.5,7,1.285714286,0.642857143,,0.285714286,,
9.3,280239008,421.077664,421.077635,-0.029,-0.069,C19 H17 O11    ,0,19,0,17,0,11,0,11.5,11,0.894736842,0.578947368,,0,,
65.03,280239008,421.077664,421.077851,0.187,0.445,C12 H25 N2 O8 S3 ,0,12,0,25,2,8,3,1.5,1,2.083333333,0.666666667,,0.166666667,,
192.84,280239008,421.077664,421.077648,-0.016,-0.038,C15 H22 Cl N4 O4 S2 ,0,15,1,22,4,4,2,6.5,6,1.466666667,0.266666667,,0.266666667,,
11.82,54582176,421.081052,421.081006,-0.046,-0.11,C16 H21 O11 S  ,0,16,0,21,0,11,1,6.5,6,1.3125,0.6875,,0,,
146.12,54582176,421.081052,421.080802,-0.25,-0.593,C19 H18 Cl N2 O7 ,0,19,1,18,2,7,0,11.5,11,0.947368421,0.368421053,,0.105263158,,
368.87,54582176,421.081052,421.080866,-0.186,-0.441,C24 H22 Br O2  ,1,24,0,22,0,2,0,13.5,13,0.916666667,0.083333333,,0,,
497.81,5330348,421.093139,421.092904,-0.235,-0.559,C19 H22 Cl N4 O S2 ,0,19,1,22,4,1,2,10.5,10,1.157894737,0.052631579,,0.210526316,,
498.18,5330348,421.093139,421.092891,-0.248,-0.589,C23 H17 O8     ,0,23,0,17,0,8,0,15.5,15,0.739130435,0.347826087,,0,,
558.93,5330348,421.093139,421.093193,0.054,0.127,C20 H28 Cl3 O S ,0,20,3,28,0,1,1,5.5,5,1.4,0.05,,0,,
512.13,8514483,421.101505,421.101259,-0.246,-0.584,C19 H27 Cl2 O4 S ,0,19,2,27,0,4,1,5.5,5,1.421052632,0.210526316,,0,,
520.2,8514483,421.101505,421.10114,-0.365,-0.866,C16 H27 Br Cl N4 O2 ,1,16,1,27,4,2,0,4.5,4,1.6875,0.125,,0.25,,
591.31,8514483,421.101505,421.101622,0.117,0.278,C26 H17 N2 O2 S ,0,26,0,17,2,2,1,19.5,19,0.653846154,0.076923077,,0.076923077,,
13.61,225024960,421.113949,421.11402,0.072,0.17,C20 H21 O10    ,0,20,0,21,0,10,0,10.5,10,1.05,0.5,,0,,
113.26,225024960,421.113949,421.114237,0.288,0.684,C13 H29 N2 O7 S3 ,0,13,0,29,2,7,3,0.5,0,2.230769231,0.538461538,,0.153846154,,
266.9,225024960,421.113949,421.114033,0.084,0.201,C16 H26 Cl N4 O3 S2 ,0,16,1,26,4,3,2,5.5,5,1.625,0.1875,,0.25,,
252.98,8055764,421.137858,421.138008,0.149,0.354,C27 H21 N2 O S ,0,27,0,21,2,1,1,18.5,18,0.777777778,0.037037037,,0.074074074,,
352.57,8055764,421.137858,421.137645,-0.214,-0.508,C20 H31 Cl2 O3 S ,0,20,2,31,0,3,1,4.5,4,1.55,0.15,,0,,
539.27,8055764,421.137858,421.137526,-0.333,-0.79,C17 H31 Br Cl N4 O ,1,17,1,31,4,1,0,3.5,3,1.823529412,0.058823529,,0.235294118,,
423.5,9763801,421.143863,421.143881,0.018,0.043,C20 H25 N2 O6 S ,0,20,0,25,2,6,1,9.5,9,1.25,0.3,,0.1,,
647.13,9763801,421.143863,421.143677,-0.185,-0.44,C23 H22 Cl N4 O2 ,0,23,1,22,4,2,0,14.5,14,0.956521739,0.086956522,,0.173913043,,
18.21,249568224,421.150387,421.150406,0.019,0.045,C21 H25 O9     ,0,21,0,25,0,9,0,9.5,9,1.19047619,0.428571429,,0,,
193.67,249568224,421.150387,421.150419,0.032,0.076,C17 H30 Cl N4 O2 S2 ,0,17,1,30,4,2,2,4.5,4,1.764705882,0.117647059,,0.235294118,,
29.03,57383936,421.186809,421.186791,-0.017,-0.041,C22 H29 O8     ,0,22,0,29,0,8,0,8.5,8,1.318181818,0.363636364,,0,,
406.3,57383936,421.186809,421.186804,-0.005,-0.011,C18 H34 Cl N4 O S2 ,0,18,1,34,4,1,2,3.5,3,1.888888889,0.055555556,,0.222222222,,
128.27,4815392,421.223231,421.223177,-0.054,-0.129,C23 H33 O7     ,0,23,0,33,0,7,0,7.5,7,1.434782609,0.304347826,,0,,
444.69,4815392,421.223231,421.22319,-0.041,-0.098,C19 H38 Cl N4 S2 ,0,19,1,38,4,0,2,2.5,2,2,0,,0.210526316,,
122.03,11652131,421.226459,421.226548,0.089,0.21,C20 H37 O7 S   ,0,20,0,37,0,7,1,2.5,2,1.85,0.35,,0,,
201.66,11652131,421.226459,421.226344,-0.115,-0.273,C23 H34 Cl N2 O3 ,0,23,1,34,2,3,0,7.5,7,1.47826087,0.130434783,,0.086956522,,
89.53,34750232,422.072914,422.072884,-0.03,-0.072,C18 H16 N O11  ,0,18,0,16,1,11,0,11.5,11,0.888888889,0.611111111,,0.055555556,,
559.65,34750232,422.072914,422.072982,0.068,0.161,C18 H24 Cl4 N3 ,0,18,4,24,3,0,0,6.5,6,1.333333333,0,,0.166666667,,
613.14,34750232,422.072914,422.0731,0.186,0.441,C11 H24 N3 O8 S3 ,0,11,0,24,3,8,3,1.5,1,2.181818182,0.727272727,,0.272727273,,
560.86,4089627,422.076417,422.076353,-0.064,-0.151,C15 H28 Cl4 N3 S ,0,15,4,28,3,0,1,1.5,1,1.866666667,0,,0.2,,
600.09,4089627,422.076417,422.076051,-0.366,-0.866,C18 H17 Cl N3 O7 ,0,18,1,17,3,7,0,11.5,11,0.944444444,0.388888889,,0.166666667,,
666.03,4089627,422.076417,422.076255,-0.162,-0.384,C15 H20 N O11 S ,0,15,0,20,1,11,1,6.5,6,1.333333333,0.733333333,,0.066666667,,
116.12,19980088,422.109286,422.109269,-0.016,-0.038,C19 H20 N O10  ,0,19,0,20,1,10,0,10.5,10,1.052631579,0.526315789,,0.052631579,,
617.53,19980088,422.109286,422.109486,0.2,0.475,C12 H28 N3 O7 S3 ,0,12,0,28,3,7,3,0.5,0,2.333333333,0.583333333,,0.25,,
624.38,19980088,422.109286,422.109571,0.286,0.677,C16 H31 Cl3 N O3 S ,0,16,3,31,1,3,1,0.5,0,1.9375,0.1875,,0.0625,,
196.45,12132185,422.145697,422.145655,-0.042,-0.099,C20 H24 N O9   ,0,20,0,24,1,9,0,9.5,9,1.2,0.45,,0.05,,
463.72,4721018,422.754252,422.754105,-0.147,-0.348,C4 H4 Br Cl4 N4 S3 ,1,4,4,4,4,0,3,2.5,2,1,0,,1,,
487.32,4721018,422.754252,422.754177,-0.075,-0.178,C2 H2 Br2 Cl N2 O9 S ,2,2,1,2,2,9,1,1.5,1,1,4.5,,1,,
504.58,4721018,422.754252,422.754037,-0.215,-0.509,C10 H3 Br3 Cl N2 ,3,10,1,3,2,0,0,8.5,8,0.3,0,,0.2,,
222.49,5164552,422.912499,422.912409,-0.091,-0.215,C9 H14 Br Cl2 N4 O2 S2 ,1,9,2,14,4,2,2,3.5,3,1.555555556,0.222222222,,0.444444444,,
311.14,5164552,422.912499,422.912324,-0.175,-0.415,C15 H11 Cl4 N2 S2 ,0,15,4,11,2,0,2,9.5,9,0.733333333,0,,0.133333333,,
335.81,5164552,422.912499,422.912528,0.028,0.067,C12 H14 Cl3 O4 S3 ,0,12,3,14,0,4,3,4.5,4,1.166666667,0.333333333,,0,,
230.13,4206093,422.917962,422.918261,0.299,0.708,C13 H19 Br Cl3 S2 ,1,13,3,19,0,0,2,2.5,2,1.461538462,0,,0,,
285.83,4206093,422.917962,422.918197,0.235,0.556,C8 H15 Cl4 N2 O5 S2 ,0,8,4,15,2,5,2,0.5,0,1.875,0.625,,0.25,,
306.38,4206093,422.917962,422.917972,0.01,0.024,C12 H13 Br Cl N4 S3 ,1,12,1,13,4,0,3,7.5,7,1.083333333,0,,0.333333333,,
189.35,4165161,422.948934,422.948794,-0.14,-0.33,C10 H18 Br Cl2 N4 O S2 ,1,10,2,18,4,1,2,2.5,2,1.8,0.1,,0.4,,
216.55,4165161,422.948934,422.948913,-0.021,-0.049,C13 H18 Cl3 O3 S3 ,0,13,3,18,0,3,3,3.5,3,1.384615385,0.230769231,,0,,
384.59,4165161,422.948934,422.948717,-0.216,-0.512,C9 H9 Cl2 N2 O13 ,0,9,2,9,2,13,0,5.5,5,1,1.444444444,,0.222222222,,
117.76,16826998,423.035862,423.03577,-0.092,-0.218,C21 H11 O10    ,0,21,0,11,0,10,0,16.5,16,0.523809524,0.476190476,,0,,
167.1,16826998,423.035862,423.035987,0.124,0.294,C14 H19 N2 O7 S3 ,0,14,0,19,2,7,3,6.5,6,1.357142857,0.5,,0.142857143,,
183.06,16826998,423.035862,423.03622,0.358,0.846,C17 H29 Br2 S  ,2,17,0,29,0,0,1,2.5,2,1.705882353,0,,0,,
268.86,10109566,423.044383,423.044019,-0.364,-0.86,C14 H21 Br Cl N4 O4 ,1,14,1,21,4,4,0,5.5,5,1.5,0.285714286,,0.285714286,,
332.7,10109566,423.044383,423.044138,-0.245,-0.578,C17 H21 Cl2 O6 S ,0,17,2,21,0,6,1,6.5,6,1.235294118,0.352941176,,0,,
360.53,10109566,423.044383,423.044298,-0.085,-0.201,C27 H8 Cl N4   ,0,27,1,8,4,0,0,25.5,25,0.296296296,0,,0.148148148,,
478.73,11725443,423.050123,423.049702,-0.421,-0.995,C20 H20 Cl O4 S2 ,0,20,1,20,0,4,2,10.5,10,1,0.2,,0,,
498.15,11725443,423.050123,423.049872,-0.251,-0.594,C18 H26 Br Cl2 O2 ,1,18,2,26,0,2,0,4.5,4,1.444444444,0.111111111,,0,,
510.69,11725443,423.050123,423.050374,0.252,0.595,C17 H15 N2 O9 S ,0,17,0,15,2,9,1,11.5,11,0.882352941,0.529411765,,0.117647059,,
24.51,249766544,423.056905,423.0569,-0.006,-0.014,C18 H15 O12    ,0,18,0,15,0,12,0,11.5,11,0.833333333,0.666666667,,0,,
56.84,249766544,423.056905,423.057116,0.211,0.498,C11 H23 N2 O9 S3 ,0,11,0,23,2,9,3,1.5,1,2.090909091,0.818181818,,0.181818182,,
374.08,249766544,423.056905,423.056998,0.093,0.219,C18 H23 Cl4 N2 O ,0,18,4,23,2,1,0,6.5,6,1.277777778,0.055555556,,0.111111111,,
511.06,4201105,423.065575,423.065847,0.271,0.642,C14 H23 N4 O3 S4 ,0,14,0,23,4,3,4,5.5,5,1.642857143,0.214285714,,0.285714286,,
563.22,4201105,423.065575,423.065267,-0.308,-0.728,C14 H25 Cl2 O8 S ,0,14,2,25,0,8,1,1.5,1,1.785714286,0.571428571,,0,,
594.43,4201105,423.065575,423.065212,-0.363,-0.858,C16 H29 Br2 N2 O ,2,16,0,29,2,1,0,2.5,2,1.8125,0.0625,,0.125,,
275.95,11850398,423.080669,423.08032,-0.349,-0.825,C21 H22 Cl3 N2 O ,0,21,3,22,2,1,0,10.5,10,1.047619048,0.047619048,,0.095238095,,
377.07,11850398,423.080669,423.080524,-0.145,-0.343,C18 H25 Cl2 O5 S ,0,18,2,25,0,5,1,5.5,5,1.388888889,0.277777778,,0,,
541.29,11850398,423.080669,423.080405,-0.264,-0.625,C15 H25 Br Cl N4 O3 ,1,15,1,25,4,3,0,4.5,4,1.666666667,0.2,,0.266666667,,
436.01,16517796,423.086786,423.086556,-0.23,-0.544,C21 H16 Cl N4 O4 ,0,21,1,16,4,4,0,15.5,15,0.761904762,0.19047619,,0.19047619,,
456.15,16517796,423.086786,423.086976,0.19,0.449,C11 H27 N4 O5 S4 ,0,11,0,27,4,5,4,0.5,0,2.454545455,0.454545455,,0.363636364,,
489.48,16517796,423.086786,423.08676,-0.027,-0.063,C18 H19 N2 O8 S ,0,18,0,19,2,8,1,10.5,10,1.055555556,0.444444444,,0.111111111,,
392.03,47948456,423.092229,423.09212,-0.109,-0.258,C24 H15 N4 O2 S ,0,24,0,15,4,2,1,19.5,19,0.625,0.083333333,,0.166666667,,
392.76,47948456,423.092229,423.09243,0.2,0.473,C14 H20 Cl N4 O9 ,0,14,1,20,4,9,0,6.5,6,1.428571429,0.642857143,,0.285714286,,
459.24,47948456,423.092229,423.092633,0.404,0.954,C11 H23 N2 O13 S ,0,11,0,23,2,13,1,1.5,1,2.090909091,1.181818182,,0.181818182,,
36.95,464134816,423.093268,423.093285,0.017,0.041,C19 H19 O11    ,0,19,0,19,0,11,0,10.5,10,1,0.578947368,,0,,
77.14,464134816,423.093268,423.093502,0.234,0.552,C12 H27 N2 O8 S3 ,0,12,0,27,2,8,3,0.5,0,2.25,0.666666667,,0.166666667,,
180.51,464134816,423.093268,423.093298,0.03,0.071,C15 H24 Cl N4 O4 S2 ,0,15,1,24,4,4,2,5.5,5,1.6,0.266666667,,0.266666667,,
156.53,28074668,423.096681,423.096452,-0.228,-0.54,C19 H20 Cl N2 O7 ,0,19,1,20,2,7,0,10.5,10,1.052631579,0.368421053,,0.105263158,,
273.31,28074668,423.096681,423.096516,-0.165,-0.389,C24 H24 Br O2  ,1,24,0,24,0,2,0,12.5,12,1,0.083333333,,0,,
278.74,28074668,423.096681,423.096656,-0.025,-0.059,C16 H23 O11 S  ,0,16,0,23,0,11,1,5.5,5,1.4375,0.6875,,0,,
467.9,13165236,423.104557,423.104714,0.157,0.371,C22 H28 Cl S3  ,0,22,1,28,0,0,3,8.5,8,1.272727273,0,,0,,
498.53,13165236,423.104557,423.10482,0.263,0.621,C15 H30 Cl3 N2 O3 S ,0,15,3,30,2,3,1,0.5,0,2,0.2,,0.133333333,,
554.64,13165236,423.104557,423.104735,0.177,0.419,C11 H27 N4 O7 S3 ,0,11,0,27,4,7,3,0.5,0,2.454545455,0.636363636,,0.363636364,,
302.33,6995640,423.108727,423.108541,-0.186,-0.438,C23 H19 O8     ,0,23,0,19,0,8,0,14.5,14,0.826086957,0.347826087,,0,,
319.68,6995640,423.108727,423.108843,0.116,0.275,C20 H30 Cl3 O S ,0,20,3,30,0,1,1,4.5,4,1.5,0.05,,0,,
476.66,6995640,423.108727,423.108554,-0.173,-0.408,C19 H24 Cl N4 O S2 ,0,19,1,24,4,1,2,9.5,9,1.263157895,0.052631579,,0.210526316,,
234.86,10924735,423.116998,423.11662,-0.377,-0.892,C18 H23 N4 O4 S2 ,0,18,0,23,4,4,2,9.5,9,1.277777778,0.222222222,,0.222222222,,
266.5,10924735,423.116998,423.117272,0.275,0.649,C26 H19 N2 O2 S ,0,26,0,19,2,2,1,18.5,18,0.730769231,0.076923077,,0.076923077,,
340.36,10924735,423.116998,423.116909,-0.088,-0.209,C19 H29 Cl2 O4 S ,0,19,2,29,0,4,1,4.5,4,1.526315789,0.210526316,,0,,
459.05,13394628,423.12287,423.123145,0.275,0.651,C19 H23 N2 O7 S ,0,19,0,23,2,7,1,9.5,9,1.210526316,0.368421053,,0.105263158,,
484.24,13394628,423.12287,423.122493,-0.377,-0.89,C11 H27 N4 O9 S2 ,0,11,0,27,4,9,2,0.5,0,2.454545455,0.818181818,,0.363636364,,
489.76,13394628,423.12287,423.122643,-0.227,-0.537,C20 H34 Br Cl2 ,1,20,2,34,0,0,0,2.5,2,1.7,0,,0,,
12.14,274506432,423.129619,423.129671,0.052,0.122,C20 H23 O10    ,0,20,0,23,0,10,0,9.5,9,1.15,0.5,,0,,
442.33,274506432,423.129619,423.129683,0.065,0.153,C16 H28 Cl N4 O3 S2 ,0,16,1,28,4,3,2,4.5,4,1.75,0.1875,,0.25,,
439.23,4462296,423.145084,423.145228,0.144,0.341,C21 H34 Cl3 S  ,0,21,3,34,0,0,1,3.5,3,1.619047619,0,,0,,
440.76,4462296,423.145084,423.144927,-0.157,-0.372,C24 H23 O7     ,0,24,0,23,0,7,0,13.5,13,0.958333333,0.291666667,,0,,
474.64,4462296,423.145084,423.145143,0.059,0.14,C17 H31 N2 O4 S3 ,0,17,0,31,2,4,3,3.5,3,1.823529412,0.235294118,,0.117647059,,
384.85,4527840,423.153332,423.153295,-0.038,-0.089,C20 H33 Cl2 O3 S ,0,20,2,33,0,3,1,3.5,3,1.65,0.15,,0,,
394.78,4527840,423.153332,423.153006,-0.326,-0.772,C19 H27 N4 O3 S2 ,0,19,0,27,4,3,2,8.5,8,1.421052632,0.157894737,,0.210526316,,
421.82,4527840,423.153332,423.153658,0.325,0.769,C27 H23 N2 O S ,0,27,0,23,2,1,1,17.5,17,0.851851852,0.037037037,,0.074074074,,
441.83,4528865,423.15469,423.154836,0.146,0.345,C18 H32 Cl N2 O3 S2 ,0,18,1,32,2,3,2,3.5,3,1.777777778,0.166666667,,0.111111111,,
396.18,6318821,423.159482,423.159531,0.049,0.115,C20 H27 N2 O6 S ,0,20,0,27,2,6,1,8.5,8,1.35,0.3,,0.1,,
636.28,6318821,423.159482,423.159327,-0.155,-0.366,C23 H24 Cl N4 O2 ,0,23,1,24,4,2,0,13.5,13,1.043478261,0.086956522,,0.173913043,,
22.99,151692016,423.166075,423.166056,-0.019,-0.044,C21 H27 O9     ,0,21,0,27,0,9,0,8.5,8,1.285714286,0.428571429,,0,,
305.58,151692016,423.166075,423.166069,-0.006,-0.013,C17 H32 Cl N4 O2 S2 ,0,17,1,32,4,2,2,3.5,3,1.882352941,0.117647059,,0.235294118,,
122.79,20120332,423.202442,423.202442,0,0,C22 H31 O8     ,0,22,0,31,0,8,0,7.5,7,1.409090909,0.363636364,,0,,
337.34,20120332,423.202442,423.202454,0.013,0.03,C18 H36 Cl N4 O S2 ,0,18,1,36,4,1,2,2.5,2,2,0.055555556,,0.222222222,,
529.3,4466149,424.015969,424.015861,-0.108,-0.254,C16 H18 Cl4 N3 O2 ,0,16,4,18,3,2,0,7.5,7,1.125,0.125,,0.1875,,
586.86,4466149,424.015969,424.016065,0.096,0.226,C13 H21 Cl3 N O6 S ,0,13,3,21,1,6,1,2.5,2,1.615384615,0.461538462,,0.076923077,,
606.28,4466149,424.015969,424.015979,0.011,0.025,C9 H18 N3 O10 S3 ,0,9,0,18,3,10,3,2.5,2,2,1.111111111,,0.333333333,,
121.88,30541318,424.052212,424.052148,-0.064,-0.15,C17 H14 N O12  ,0,17,0,14,1,12,0,11.5,11,0.823529412,0.705882353,,0.058823529,,
522.06,30541318,424.052212,424.052247,0.035,0.082,C17 H22 Cl4 N3 O ,0,17,4,22,3,1,0,6.5,6,1.294117647,0.058823529,,0.176470588,,
583.54,30541318,424.052212,424.05245,0.238,0.562,C14 H25 Cl3 N O5 S ,0,14,3,25,1,5,1,1.5,1,1.785714286,0.357142857,,0.071428571,,
201.75,31622694,424.088573,424.088534,-0.039,-0.091,C18 H18 N O11  ,0,18,0,18,1,11,0,10.5,10,1,0.611111111,,0.055555556,,
515.34,31622694,424.088573,424.088632,0.06,0.14,C18 H26 Cl4 N3 ,0,18,4,26,3,0,0,5.5,5,1.444444444,0,,0.166666667,,
578.77,31622694,424.088573,424.088836,0.263,0.62,C15 H29 Cl3 N O4 S ,0,15,3,29,1,4,1,0.5,0,1.933333333,0.266666667,,0.066666667,,
142.33,21530182,424.124942,424.12492,-0.023,-0.054,C19 H22 N O10  ,0,19,0,22,1,10,0,9.5,9,1.157894737,0.526315789,,0.052631579,,
111.97,7655016,424.161358,424.161305,-0.053,-0.125,C20 H26 N O9   ,0,20,0,26,1,9,0,8.5,8,1.3,0.45,,0.05,,
294.07,6498442,424.769997,424.769742,-0.255,-0.599,C8 H Br Cl3 O7 S ,1,8,3,1,0,7,1,6.5,6,0.125,0.875,,0,,
337.01,6498442,424.769997,424.769827,-0.17,-0.4,C2 H4 Br2 Cl N2 O9 S ,2,2,1,4,2,9,1,0.5,0,2,4.5,,1,,
379.95,6498442,424.769997,424.769623,-0.374,-0.879,C5 H Br2 Cl2 N4 O5 ,2,5,2,1,4,5,0,5.5,5,0.2,1,,0.8,,
383.5,5681347,424.833623,424.833409,-0.214,-0.504,C12 Cl3 O9 S   ,0,12,3,0,0,9,1,11.5,11,0,0.75,,0,,
393.45,5681347,424.833623,424.833625,0.002,0.005,C5 H8 Cl3 N2 O6 S4 ,0,5,3,8,2,6,4,1.5,1,1.6,1.2,,0.4,,
403.01,5681347,424.833623,424.833422,-0.201,-0.474,C8 H5 Cl4 N4 O2 S3 ,0,8,4,5,4,2,3,6.5,6,0.625,0.25,,0.5,,
310.46,7428324,424.869828,424.869739,-0.089,-0.21,C15 H8 Br2 Cl N2 O ,2,15,1,8,2,1,0,11.5,11,0.533333333,0.066666667,,0.133333333,,
340.75,7428324,424.869828,424.869709,-0.119,-0.281,C9 H N2 O12 S3 ,0,9,0,1,2,12,3,10.5,10,0.111111111,1.333333333,,0.222222222,,
343.6,7428324,424.869828,424.870075,0.246,0.58,C11 H16 Br Cl2 S4 ,1,11,2,16,0,0,4,2.5,2,1.454545455,0,,0,,
117.78,4160756,424.887764,424.887701,-0.062,-0.147,C12 H11 Br2 O7 ,2,12,0,11,0,7,0,6.5,6,0.916666667,0.583333333,,0,,
234.47,4160756,424.887764,424.887638,-0.126,-0.297,C7 H7 Br Cl N2 O12 ,1,7,1,7,2,12,0,4.5,4,1,1.714285714,,0.285714286,,
289.01,4160756,424.887764,424.887545,-0.219,-0.516,C10 H10 Br N4 O2 S4 ,1,10,0,10,4,2,4,7.5,7,1,0.2,,0.4,,
202.8,4156677,424.906629,424.906328,-0.301,-0.708,C13 H15 Br2 O4 S ,2,13,0,15,0,4,1,5.5,5,1.153846154,0.307692308,,0,,
239.62,4156677,424.906629,424.906265,-0.365,-0.859,C8 H11 Br Cl N2 O9 S ,1,8,1,11,2,9,1,3.5,3,1.375,1.125,,0.25,,
349.84,4156677,424.906629,424.906929,0.3,0.706,C12 H12 Br Cl2 N4 S2 ,1,12,2,12,4,0,2,7.5,7,1,0,,0.333333333,,
123.1,6456588,424.915007,424.914983,-0.024,-0.057,C15 H6 Br O10  ,1,15,0,6,0,10,0,12.5,12,0.4,0.666666667,,0,,
153.94,6456588,424.915007,424.915221,0.214,0.503,C7 H13 Cl4 N2 O8 S ,0,7,4,13,2,8,1,0.5,0,1.857142857,1.142857143,,0.285714286,,
162.24,6456588,424.915007,424.915199,0.192,0.452,C8 H14 Br N2 O7 S3 ,1,8,0,14,2,7,3,2.5,2,1.75,0.875,,0.25,,
45.06,5284111,424.91865,424.918962,0.312,0.734,C4 H N4 O20    ,0,4,0,1,4,20,0,6.5,6,0.25,5,,1,,
197.71,5284111,424.91865,424.918282,-0.368,-0.867,C14 H12 Cl3 N2 O S3 ,0,14,3,12,2,1,3,8.5,8,0.857142857,0.071428571,,0.142857143,,
272.41,5284111,424.91865,424.918485,-0.165,-0.388,C11 H15 Cl2 O5 S4 ,0,11,2,15,0,5,4,3.5,3,1.363636364,0.454545455,,0,,
190.93,5531928,424.927837,424.928178,0.341,0.803,C12 H16 Cl3 O4 S3 ,0,12,3,16,0,4,3,3.5,3,1.333333333,0.333333333,,0,,
191.29,5531928,424.927837,424.927974,0.138,0.324,C15 H13 Cl4 N2 S2 ,0,15,4,13,2,0,2,8.5,8,0.866666667,0,,0.133333333,,
209.58,5531928,424.927837,424.928059,0.222,0.523,C9 H16 Br Cl2 N4 O2 S2 ,1,9,2,16,4,2,2,2.5,2,1.777777778,0.222222222,,0.444444444,,
139.13,4802857,424.946721,424.946609,-0.112,-0.264,C9 H11 Cl2 N2 O11 S ,0,9,2,11,2,11,1,4.5,4,1.222222222,1.222222222,,0.222222222,,
149.23,4802857,424.946721,424.946673,-0.048,-0.114,C14 H15 Br Cl O6 S ,1,14,1,15,0,6,1,6.5,6,1.071428571,0.428571429,,0,,
252.64,4802857,424.946721,424.946299,-0.422,-0.992,C19 H6 Cl N2 O4 S2 ,0,19,1,6,2,4,2,17.5,17,0.315789474,0.210526316,,0.105263158,,
114.08,15517997,424.951404,424.951368,-0.036,-0.084,C16 H10 Br O9  ,1,16,0,10,0,9,0,11.5,11,0.625,0.5625,,0,,
313.62,15517997,424.951404,424.951304,-0.1,-0.235,C11 H6 Cl N2 O14 ,0,11,1,6,2,14,0,9.5,9,0.545454545,1.272727273,,0.181818182,,
360.78,15517997,424.951404,424.9515,0.096,0.226,C15 H15 Cl2 O4 S3 ,0,15,2,15,0,4,3,7.5,7,1,0.266666667,,0,,
385.52,4596024,424.964348,424.964274,-0.073,-0.172,C12 H14 Cl N4 O3 S4 ,0,12,1,14,4,3,4,7.5,7,1.166666667,0.25,,0.333333333,,
432.15,4596024,424.964348,424.96471,0.362,0.852,C27 H2 Cl O4   ,0,27,1,2,0,4,0,26.5,26,0.074074074,0.148148148,,0,,
435.79,4596024,424.964348,424.964058,-0.29,-0.682,C19 H6 Cl N2 O6 S ,0,19,1,6,2,6,1,17.5,17,0.315789474,0.315789474,,0.105263158,,
119.4,6695228,424.968372,424.968753,0.381,0.897,C21 H N2 O9    ,0,21,0,1,2,9,0,22.5,22,0.047619048,0.428571429,,0.095238095,,
328.02,6695228,424.968372,424.968475,0.103,0.241,C8 H14 Br N2 O13 ,1,8,0,14,2,13,0,2.5,2,1.75,1.625,,0.25,,
341.07,6695228,424.968372,424.968297,-0.075,-0.176,C17 H14 Cl N2 O S4 ,0,17,1,14,2,1,4,11.5,11,0.823529412,0.058823529,,0.117647059,,
143.04,6462784,424.972426,424.972776,0.35,0.823,C26 H O7       ,0,26,0,1,0,7,0,26.5,26,0.038461538,0.269230769,,0,,
221.46,6462784,424.972426,424.972497,0.071,0.168,C13 H14 Br O11 ,1,13,0,14,0,11,0,6.5,6,1.076923077,0.846153846,,0,,
356.81,6462784,424.972426,424.972434,0.007,0.017,C8 H10 Cl N2 O16 ,0,8,1,10,2,16,0,4.5,4,1.25,2,,0.25,,
177.88,14680400,424.991071,424.991199,0.129,0.303,C30 H2 Cl N2   ,0,30,1,2,2,0,0,30.5,30,0.066666667,0,,0.066666667,,
229.86,14680400,424.991071,424.990857,-0.214,-0.503,C12 H11 Cl2 N4 O9 ,0,12,2,11,4,9,0,8.5,8,0.916666667,0.75,,0.333333333,,
245.23,14680400,424.991071,424.990751,-0.32,-0.752,C19 H9 N2 O6 S2 ,0,19,0,9,2,6,2,16.5,16,0.473684211,0.315789474,,0.105263158,,
188.49,7680344,424.999804,424.999855,0.052,0.122,C17 H18 Br N2 O2 S2 ,1,17,0,18,2,2,2,9.5,9,1.058823529,0.117647059,,0.117647059,,
289.31,7680344,424.999804,424.999791,-0.012,-0.028,C12 H14 Cl N4 O7 S2 ,0,12,1,14,4,7,2,7.5,7,1.166666667,0.583333333,,0.333333333,,
332.67,7680344,424.999804,424.999771,-0.033,-0.077,C23 H15 Cl2 S2 ,0,23,2,15,0,0,2,15.5,15,0.652173913,0,,0,,
